Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisão,Grupo,Falta de Comparência
6,,,,Contabilidade,,,LRE,2,A,
6,,,,Eng. Civil,,,Biologia e Geologia,2,A,
6,,,,GPT,,,Design,2,A,
6,,,,Música,,,Física,2,A,
6,,,,Eng. Física,,,Administração Pública,2,B,
6,,,,Eng. Mecânica B,,,Eng. Computacional,2,B,
6,,,,LLC,,,Eng. Biomédica,2,B,
6,,,,Psicologia,,,Ciências do Mar,2,B,
7,,,,ECT,,,Biologia,1,,
7,,,,EGI,,,MTC,1,,
7,,,,Eng. Aeroespacial,,,Biotecnologia,1,,
7,,,,Eng. Informática,,,EET,1,,
7,,,,Eng. Materiais,,,Tecnologias de Informação,1,,
7,,,,Eng. Mecânica,,,Matemática,1,,
7,,,,Biologia e Geologia,,,Música,2,A,
7,,,,Design,,,Contabilidade,2,A,
7,,,,Física,,,Economia,2,A,
7,,,,LRE,,,Eng. Civil,2,A,
7,,,,Administração Pública,,,Gestão,2,B,
7,,,,Ciências do Mar,,,Eng. Física,2,B,
7,,,,Eng. Biomédica,,,Eng. Mecânica B,2,B,
7,,,,Eng. Computacional,,,Psicologia,2,B,
8,,,,Biologia,,,Eng. Aeroespacial,1,,
8,,,,Biotecnologia,,,Eng. Informática,1,,
8,,,,EET,,,Eng. Mecânica,1,,
8,,,,MTC,,,Eng. Materiais,1,,
8,,,,Matemática,,,EGI,1,,
8,,,,Tecnologias de Informação,,,ECT,1,,
8,,,,Contabilidade,,,GPT,2,A,
8,,,,Economia,,,Biologia e Geologia,2,A,
8,,,,Eng. Civil,,,Design,2,A,
8,,,,Música,,,LRE,2,A,
8,,,,Eng. Física,,,Eng. Computacional,2,B,
8,,,,Eng. Mecânica B,,,LLC,2,B,
8,,,,Gestão,,,Ciências do Mar,2,B,
8,,,,Psicologia,,,Eng. Biomédica,2,B,
9,,,,ECT,,,MTC,1,,
9,,,,EGI,,,Eng. Materiais,1,,
9,,,,Eng. Aeroespacial,,,Tecnologias de Informação,1,,
9,,,,Eng. Informática,,,Biologia,1,,
9,,,,Eng. Mecânica,,,Biotecnologia,1,,
9,,,,Matemática,,,EET,1,,
9,,,,Biologia e Geologia,,,Física,2,A,
9,,,,Design,,,Música,2,A,
9,,,,GPT,,,Eng. Civil,2,A,
9,,,,LRE,,,Economia,2,A,
9,,,,Ciências do Mar,,,Administração Pública,2,B,
9,,,,Eng. Biomédica,,,Eng. Física,2,B,
9,,,,Eng. Computacional,,,Gestão,2,B,
9,,,,LLC,,,Psicologia,2,B,
10,,,,Biologia,,,Eng. Mecânica,1,,
10,,,,Biotecnologia,,,Matemática,1,,
10,,,,EGI,,,EET,1,,
10,,,,Eng. Materiais,,,ECT,1,,
10,,,,MTC,,,Eng. Aeroespacial,1,,
10,,,,Tecnologias de Informação,,,Eng. Informática,1,,
11,,,,ECT,,,EGI,1,,
11,,,,EET,,,Biotecnologia,1,,
11,,,,Eng. Aeroespacial,,,Eng. Materiais,1,,
11,,,,Eng. Informática,,,MTC,1,,
11,,,,Eng. Mecânica,,,Tecnologias de Informação,1,,
11,,,,Matemática,,,Biologia,1,,
LM1,,,,9º Class. 1ª Div.,,,2º Class. 2ª Div. A,,,
LM2,,,,2º Class. 2ª Div. A,,,2º Class. 2ª Div. B,,,
LM3,,,,2º Class. 2ª Div. B,,,9º Class. 1ª Div.,,,
E1,,,,1º Class. 1ª Div.,,,1º Class. 2ª Div. Gr. B,,,
E1,,,,2º Class. 1ª Div.,,,1º Class. 2ª Div. Gr. A,,,
E1,,,,3º Class. 1ª Div.,,,6º Class. 1ª Div.,,,
E1,,,,4º Class. 1ª Div.,,,5º Class. 1ª Div.,,,
E2,,,,Vencedor QF1,,,Vencedor QF4,,,
E2,,,,Vencedor QF2,,,Vencedor QF3,,,
E3L,,,,Vencido MF1,,,Vencido MF2,,,
E3,,,,Vencedor MF1,,,Vencedor MF2,,,
